Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Tribal Boundaries","Flaming Rock > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/105741602/tribal-boundaries,3.7,-1,"Sport, TR",5.10a/b,1,60,42.07673,-113.7137
"Bloody Fingers","Super Hits - Bloody Fingers > Breadloaves > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/105741026/bloody-fingers,3.7,-1,Trad,5.10a,1,100,42.08728,-113.72925
"Wheat Thin","Elephant Rock - East > Elephant Rock > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/105740996/wheat-thin,3.6,-1,Trad,5.7,1,120,42.06739,-113.70894
Skyline,"Morning Glory Spire > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/105740963/skyline,3.7,-1,Trad,5.8,1,100,42.08282,-113.72147
"Lost Arrow","Lost Arrow Spire > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/105740972/lost-arrow,3.6,-1,Trad,"5.7 R",2,170,42.08568,-113.71267
"Rye Crisp","Elephant Rock - East > Elephant Rock > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/105740981/rye-crisp,3.6,-1,Trad,5.8,1,120,42.06739,-113.70894
"Thin Slice","Parking Lot Rock - Northeast > Parking Lot Rock > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/105741581/thin-slice,3.6,-1,Trad,5.10a,1,100,42.08386,-113.72246
Batwings,"Parking Lot Rock - West > Parking Lot Rock > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/105740951/batwings,3.5,-1,Trad,5.8+,1,180,42.08342,-113.72294
"Animal Cracker","Animal Cracker Rock > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/105741521/animal-cracker,3.5,-1,Trad,5.10a,2,200,42.08716,-113.72271
"Too Much Fun","Bumblie Rock > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/105742073/too-much-fun,3.5,-1,Sport,5.8,1,150,42.07848,-113.7135
"Double Cracks","King on the Throne - West > King on the Throne > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/105838058/double-cracks,3.4,-1,Trad,5.10b,1,70,42.08476,-113.72663
"Theater of Shadows","Steinfell's Dome > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/105741557/theater-of-shadows,3.1,-1,Sport,5.6,4,500,42.09646,-113.68672
"I Can't Believe It","Slabbage Patch > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/105864016/i-cant-believe-it,3.4,-1,Sport,5.10a,1,75,42.07858,-113.71532
"Columbian Crack","Elephant Rock - East > Elephant Rock > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/105741563/columbian-crack,3.1,-1,Trad,5.7,1,150,42.06739,-113.70894
"Scream Cheese","Anteater - West > Anteater Rock > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/105741593/scream-cheese,3.1,-1,Sport,5.9,1,70,42.08229,-113.7218
"Private Idaho","Bath Rock - West > Bath Rock > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/105740984/private-idaho,3.1,-1,Trad,5.9,1,90,42.07578,-113.7227
"Mystery Achievement","Super Hits - Bloody Fingers > Breadloaves > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/107682572/mystery-achievement,3.1,-1,Sport,5.7,1,110,42.08728,-113.72925
"Strawberry Fields","Elephant Rock - North > Elephant Rock > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/115409340/strawberry-fields,3.1,-1,Sport,5.9,1,90,42.06716,-113.7094
"Adolescent Homosapien","Decadent Wall > Breadloaves > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/105741617/adolescent-homosapien,3.0,-1,Trad,5.7,1,110,42.08612,-113.72944
"Funky Bolt","Parking Lot Rock - East > Parking Lot Rock > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/105740957/funky-bolt,3.0,-1,Trad,"5.9 R",1,160,42.08342,-113.72222
"Short Circuit","Transformer Corridor > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/105862525/short-circuit,3.1,-1,"Trad, Sport",5.10a,1,75,42.078,-113.71315
Cowboy,"Bath Rock - East > Bath Rock > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/105788842/cowboy,3.0,-1,Trad,5.5,1,200,42.07583,-113.72191
